business_name,date,score,result,description,type
FA0032366,20151014,,PASS,,routine
FA0044645,20150918,,PASS,,routine
FA0044801,20151005,,PASS,,routine
FA0046538,20160104,,PASS,,routine
FA0046758,20150904,,PASS,,routine
FA0046760,20150925,,PASS,,routine
FA0001415,20151116,,PASS,,routine
FA0001951,20160105,,PASS,,routine
FA0001953,20151118,,PASS,,routine
FA0002028,20151202,,PASS,,routine
FA0002174,20151030,,PASS,,routine
FA0002192,20151023,,PASS,,routine
FA0002293,20151019,,PASS,,routine
FA0002306,20151120,,PASS,,routine
FA0002312,20160125,,PASS,,routine
FA0002341,20150917,,PASS,,routine
FA0002397,20150929,,PASS,,routine
FA0002397,20150929,,PASS,,routine
FA0002397,20150929,,PASS,,routine
FA0003023,20151207,,PASS,,routine
FA0003875,20151102,,PASS,,routine
FA0003876,20151016,,PASS,,routine
FA0004083,20151207,,PASS,,routine
FA0004428,20151216,,PASS,,routine
FA0004429,20151112,,PASS,,routine
FA0004429,20151112,,PASS,,routine
FA0004429,20151112,,PASS,,routine
FA0004514,20160105,,PASS,,routine
FA0004515,20150917,,PASS,,routine
FA0004666,20151105,,PASS,,routine
FA0004718,20151026,,PASS,,routine
FA0004773,20151204,,PASS,,routine
FA0005225,20151005,,PASS,,routine
FA0005464,20151006,,PASS,,routine
FA0005481,20151020,,PASS,,routine
FA0005984,20160115,,PASS,,routine
FA0006019,20160112,,PASS,,routine
FA0006471,20151204,,PASS,,routine
FA0006534,20151130,,PASS,,routine
FA0006545,20151019,,PASS,,routine
FA0006570,20151118,,PASS,,routine
FA0006782,20150928,,PASS,,routine
FA0014022,20151207,,PASS,,routine
FA0014080,20151019,,PASS,,routine
FA0014193,20151109,,PASS,,routine
FA0014277,20151027,,PASS,,routine
FA0015559,20151210,,PASS,,routine
FA0016534,20151117,,PASS,,routine
FA0016561,20151019,,PASS,,routine
FA0016577,20160205,,PASS,,routine
FA0017317,20151120,,PASS,,routine
FA0018065,20151110,,PASS,,routine
FA0018070,20151007,,PASS,,routine
FA0018072,20151113,,PASS,,routine
FA0018093,20151204,,PASS,,routine
FA0018101,20151109,,PASS,,routine
FA0018555,20151105,,PASS,,routine
FA0018668,20160125,,PASS,,routine
FA0019466,20151110,,PASS,,routine
FA0019828,20151112,,PASS,,routine
FA0019829,20151105,,PASS,,routine
FA0030483,20150909,,PASS,,routine
FA0030563,20160205,,PASS,,routine
FA0039854,20150916,,PASS,,routine
FA0040663,20151105,,PASS,,routine
FA0041772,20150916,,PASS,,routine
FA0043470,20151215,,PASS,,routine
FA0043907,20151112,,PASS,,routine
FA0045037,20151015,,PASS,,routine
FA0046226,20150923,,PASS,,routine
FA0046227,20151015,,PASS,,routine
FA0046902,20150928,,PASS,,routine
FA0046997,20151216,,PASS,,routine
FA0048389,20151112,,PASS,,routine
FA0049541,20150904,,PASS,,routine
FA0049913,20160210,,PASS,,routine
FA0050245,20150929,,PASS,,routine
FA0050245,20150929,,PASS,,routine
FA0001042,20151002,,PASS,,routine
FA0001047,20151023,,PASS,,routine
FA0001062,20151102,,PASS,,routine
FA0001129,20150915,,PASS,,routine
FA0001211,20150929,,PASS,,routine
FA0001216,20151014,,PASS,,routine
FA0001218,20151001,,PASS,,routine
FA0001225,20160112,,PASS,,routine
FA0001236,20160105,,PASS,,routine
FA0001275,20151013,,PASS,,routine
FA0001283,20160121,,PASS,,routine
FA0001294,20150922,,PASS,,routine
FA0001296,20151009,,PASS,,routine
FA0001301,20150921,,PASS,,routine
FA0001302,20151102,,PASS,,routine
FA0001312,20150918,,PASS,,routine
FA0001323,20151113,,PASS,,routine
FA0001365,20150921,,PASS,,routine
FA0001423,20151118,,PASS,,routine
FA0001423,20151118,,PASS,,routine
FA0001423,20151118,,PASS,,routine
FA0001423,20151118,,PASS,,routine
FA0001437,20151215,,PASS,,routine
FA0001557,20151202,,PASS,,routine
FA0001586,20151202,,PASS,,routine
FA0001691,20150928,,PASS,,routine
FA0001744,20151116,,PASS,,routine
FA0001750,20151130,,PASS,,routine
FA0001754,20151015,,PASS,,routine
FA0001758,20150917,,PASS,,routine
FA0001761,20151116,,PASS,,routine
FA0001762,20151218,,PASS,,routine
FA0001763,20150814,,PASS,,routine
FA0001770,20150901,,PASS,,routine
FA0001779,20151215,,PASS,,routine
FA0001785,20151105,,PASS,,routine
FA0001786,20151202,,PASS,,routine
FA0001868,20150930,,PASS,,routine
FA0001944,20151210,,PASS,,routine
FA0002007,20151009,,PASS,,routine
FA0002031,20150916,,PASS,,routine
FA0002060,20150921,,PASS,,routine
FA0002116,20151102,,PASS,,routine
FA0002118,20151113,,PASS,,routine
FA0002155,20151105,,PASS,,routine
FA0002164,20150928,,PASS,,routine
FA0002175,20151117,,PASS,,routine
FA0002191,20151023,,PASS,,routine
FA0002191,20151023,,PASS,,routine
FA0002192,20151023,,PASS,,routine
FA0002192,20151023,,PASS,,routine
FA0002194,20151116,,PASS,,routine
FA0002195,20151105,,PASS,,routine
FA0002204,20150904,,PASS,,routine
FA0002226,20151112,,PASS,,routine
FA0002229,20151109,,PASS,,routine
FA0002261,20151102,,PASS,,routine
FA0002262,20151201,,PASS,,routine
FA0002278,20151013,,PASS,,routine
FA0002281,20160112,,PASS,,routine
FA0002282,20151214,,PASS,,routine
FA0002286,20151014,,PASS,,routine
FA0002310,20160111,,PASS,,routine
FA0002335,20151110,,PASS,,routine
FA0002340,20150909,,PASS,,routine
FA0002396,20151019,,PASS,,routine
FA0002397,20150929,,PASS,,routine
FA0002397,20150929,,PASS,,routine
FA0002406,20151207,,PASS,,routine
FA0002420,20160115,,PASS,,routine
FA0002487,20151030,,PASS,,routine
FA0002497,20151028,,PASS,,routine
FA0002501,20150925,,PASS,,routine
FA0002503,20151019,,PASS,,routine
FA0002564,20151102,,PASS,,routine
FA0002594,20151021,,PASS,,routine
FA0002623,20150918,,PASS,,routine
FA0002711,20151218,,PASS,,routine
FA0002767,20151006,,PASS,,routine
FA0002768,20151013,,PASS,,routine
FA0002770,20151202,,PASS,,routine
FA0002805,20151102,,PASS,,routine
FA0002805,20151112,,PASS,,routine
FA0002811,20151116,,PASS,,routine
FA0002977,20151023,,PASS,,routine
FA0003010,20151207,,PASS,,routine
FA0003012,20151217,,PASS,,routine
FA0003016,20150921,,PASS,,routine
FA0003027,20151006,,PASS,,routine
FA0003033,20151019,,PASS,,routine
FA0003441,20150924,,PASS,,routine
FA0003494,20151005,,PASS,,routine
FA0003734,20151117,,PASS,,routine
FA0003735,20151117,,PASS,,routine
FA0003779,20151015,,PASS,,routine
FA0003795,20160115,,PASS,,routine
FA0003795,20160115,,PASS,,routine
FA0003807,20151105,,PASS,,routine
FA0003807,20151105,,PASS,,routine
FA0003808,20151015,,PASS,,routine
FA0003818,20151014,,PASS,,routine
FA0003820,20150925,,PASS,,routine
FA0003824,20151006,,PASS,,routine
FA0004038,20151015,,PASS,,routine
FA0004054,20151201,,PASS,,routine
FA0004055,20150914,,PASS,,routine
FA0004079,20160115,,PASS,,routine
FA0004088,20151130,,PASS,,routine
FA0004091,20150921,,PASS,,routine
FA0004091,20150921,,PASS,,routine
FA0004093,20160113,,PASS,,routine
FA0004127,20150922,,PASS,,routine
FA0004245,20151030,,PASS,,routine
FA0004258,20151013,,PASS,,routine
FA0004264,20160205,,PASS,,routine
FA0004279,20151006,,PASS,,routine
FA0004283,20150819,,PASS,,routine
FA0004284,20150819,,PASS,,routine
FA0004291,20150928,,PASS,,routine
FA0004301,20160113,,PASS,,routine
FA0004305,20151110,,PASS,,routine
FA0004305,20151110,,PASS,,routine
FA0004403,20151002,,PASS,,routine
FA0004407,20151102,,PASS,,routine
FA0004407,20151105,,PASS,,routine
FA0004407,20151105,,PASS,,routine
FA0004407,20151105,,PASS,,routine
FA0004407,20151102,,PASS,,routine
FA0004407,20160210,,PASS,,routine
FA0004429,20151112,,PASS,,routine
FA0004434,20150828,,PASS,,routine
FA0004446,20160113,,PASS,,routine
FA0004448,20151030,,PASS,,routine
FA0004503,20151006,,PASS,,routine
FA0004516,20150902,,PASS,,routine
FA0004518,20150921,,PASS,,routine
FA0004523,20151201,,PASS,,routine
FA0004526,20151023,,PASS,,routine
FA0004557,20151117,,PASS,,routine
FA0004613,20151110,,PASS,,routine
FA0004678,20151009,,PASS,,routine
FA0004704,20150928,,PASS,,routine
FA0004710,20151028,,PASS,,routine
FA0004710,20151028,,PASS,,routine
FA0004715,20151015,,PASS,,routine
FA0004718,20151026,,PASS,,routine
FA0004723,20160112,,PASS,,routine
FA0004730,20160107,,PASS,,routine
FA0004731,20151201,,PASS,,routine
FA0004746,20150928,,PASS,,routine
FA0004752,20151026,,PASS,,routine
FA0004776,20151109,,PASS,,routine
FA0004778,20151116,,PASS,,routine
FA0004783,20150929,,PASS,,routine
FA0004789,20151105,,PASS,,routine
FA0004801,20151016,,PASS,,routine
FA0004802,20150922,,PASS,,routine
FA0004935,20150902,,PASS,,routine
FA0004969,20150908,,PASS,,routine
FA0004983,20150916,,PASS,,routine
FA0005060,20151020,,PASS,,routine
FA0005112,20151105,,PASS,,routine
FA0005116,20151005,,PASS,,routine
FA0005120,20151030,,PASS,,routine
FA0005141,20150925,,PASS,,routine
FA0005143,20150924,,PASS,,routine
FA0005144,20150924,,PASS,,routine
FA0005160,20151109,,PASS,,routine
FA0005209,20151001,,PASS,,routine
FA0005211,20151019,,PASS,,routine
FA0005214,20151202,,PASS,,routine
FA0005220,20151015,,PASS,,routine
FA0005229,20151210,,PASS,,routine
FA0005235,20150505,,PASS,,routine
FA0005235,20151009,,PASS,,routine
FA0005235,20141118,,PASS,,routine
FA0005235,20150505,,PASS,,routine
FA0005235,20141118,,PASS,,routine
FA0005245,20151027,,PASS,,routine
FA0005246,20160115,,PASS,,routine
FA0005259,20151026,,PASS,,routine
FA0005266,20160120,,PASS,,routine
FA0005274,20160125,,PASS,,routine
FA0005276,20151026,,PASS,,routine
FA0005278,20150923,,PASS,,routine
FA0005280,20151209,,PASS,,routine
FA0005292,20151117,,PASS,,routine
FA0005312,20151009,,PASS,,routine
